park,parkLabel,instanceType,instanceTypeLabel
http://www.wikidata.org/entity/Q549295,Разна,http://www.wikidata.org/entity/Q15069452,охраняемая территория проекта Natura 2000
http://www.wikidata.org/entity/Q549411,Greenmount National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q550389,Реюньон,http://www.wikidata.org/entity/Q943017,Список национальных парков Франции
http://www.wikidata.org/entity/Q559054,Туран,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q559054,Туран,http://www.wikidata.org/entity/Q1377575,wildlife refuge
http://www.wikidata.org/entity/Q559054,Туран,http://www.wikidata.org/entity/Q18618822,national park of Iran
http://www.wikidata.org/entity/Q564482,Annan River (Yuku Baja-Muliku) National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q568121,Лейк-Эйлдон,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q568264,Buila-Vânturarița National Park,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q568521,Крепость Мигдаль Цедек,http://www.wikidata.org/entity/Q839954,археологический памятник
http://www.wikidata.org/entity/Q568521,Крепость Мигдаль Цедек,http://www.wikidata.org/entity/Q92275707,crusader castle
http://www.wikidata.org/entity/Q568521,Крепость Мигдаль Цедек,http://www.wikidata.org/entity/Q106468588,Jewish settlement in the land of Israel
http://www.wikidata.org/entity/Q570270,Lake Gairdner National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q572064,Wadbilliga National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q581646,Bladensburg National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q581883,Mummel Gulf National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q583518,Джорджиан-Бей-Айлендс,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q586786,Кейп-Рейндж,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q591878,Северный Велебит,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q591878,Северный Велебит,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q592741,Toro Toro National Park,http://www.wikidata.org/entity/Q2122699,Лагерштетт
http://www.wikidata.org/entity/Q592741,Toro Toro National Park,http://www.wikidata.org/entity/Q96592721,protected area of Bolivia
http://www.wikidata.org/entity/Q592870,Wild Cattle Island National Park,http://www.wikidata.org/entity/Q5478580,protected area of Queensland
http://www.wikidata.org/entity/Q592870,Wild Cattle Island National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q597959,Туктут-Ногаит,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q600250,Garig Gunak Barlu National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q605657,Гейтс-оф-те-Арктик,http://www.wikidata.org/entity/Q841646,национальный заказник
http://www.wikidata.org/entity/Q605657,Гейтс-оф-те-Арктик,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q605897,Долина Цветов,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q608315,Yarriabini National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q609902,Катмай,http://www.wikidata.org/entity/Q841646,национальный заказник
http://www.wikidata.org/entity/Q609902,Катмай,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q611989,Чако,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q612901,Тайяталь,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q614773,Walyunga National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q625511,Arakwal National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q629153,West Hill National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q631183,Рисняк,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q631183,Рисняк,http://www.wikidata.org/entity/Q15069452,охраняемая территория проекта Natura 2000
http://www.wikidata.org/entity/Q635414,Vesuvius National Park,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q636823,Сент-Лоуренс-Айлендс,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q637968,Маунт-Ричмонд,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q640485,Юрё,http://www.wikidata.org/entity/Q1402592,группа островов
http://www.wikidata.org/entity/Q643478,Гай-Фокс-Ривер (национальный парк),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q643667,Национальный парк Аревик,http://www.wikidata.org/entity/Q1286517,природный ландшафт
http://www.wikidata.org/entity/Q799956,Bago Bluff National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q804731,Bald Rock National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q805409,Балликрой,http://www.wikidata.org/entity/Q1191622,Специальная область сохранения
http://www.wikidata.org/entity/Q806023,Ban Ban National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q806454,Bangadilly National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q807235,Barakee National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q808426,Barnard Island Group National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q808720,Barool National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q808827,Barranyi (North Island) National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q808934,Barrington Tops National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q808968,Barron Gorge National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q810277,Basket Swamp National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q812025,Бау-Бау (национальный парк),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q814030,Greater Beedelup National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q815431,Belford National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q815977,Bellinger River National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q816402,Ben Lomond National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q816671,Benambra National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q816681,Benarkin National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q816780,Bendidee National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q819281,Арбель,http://www.wikidata.org/entity/Q8502,гора
http://www.wikidata.org/entity/Q819281,Арбель,http://www.wikidata.org/entity/Q179049,заповедник
http://www.wikidata.org/entity/Q827519,Хартц-Маунтинс,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q827526,Mole Creek Karst National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q827817,Науэль-Уапи,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q827962,Перито-Морено,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q828155,Национальный парк Крка,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q828206,Lanín National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q828291,Национальный парк Лос-Алерсес,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q828353,Лаго-Пуэло,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q828404,Йохо,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q828531,Лагуна-Бланка (национальный парк),http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q828601,El Rey National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q828642,Río Pilcomayo National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q828709,Огненная Земля,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829012,Los Arrayanes National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829128,Baritú National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829228,Lihué Calel National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829260,Калилегуа,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829305,Сьерра-де-лас-Кихадас,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829415,Aconquija National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829474,Los Cardones National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829648,Copo National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829745,Сан-Гильермо,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829771,Mburucuyá National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829805,Эль-Леонсито,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829872,Монте-Леон (национальный парк),http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q829966,Campos del Tuyú National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q830022,Islas de Santa Fé National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q830083,Bosques Petrificados de Jaramillo National Park,http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины
http://www.wikidata.org/entity/Q830083,Bosques Petrificados de Jaramillo National Park,http://www.wikidata.org/entity/Q65640417,petrified forest
http://www.wikidata.org/entity/Q830099,South Bruny National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q833116,Undara Volcanic National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q834893,Национальный Парк Кинабалу,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q836264,Кобук-Валли,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q841503,Кенай-Фьордс,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q843075,Американское Самоа,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q847071,Warrumbungle National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q847071,Warrumbungle National Park,http://www.wikidata.org/entity/Q38048753,natural cultural heritage site
http://www.wikidata.org/entity/Q847690,Национальный заповедник Гран-Парадизо,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q855195,Биа,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q855311,Biamanga National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q861957,Наатсичо,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q862157,Архипелаг Минган,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q862260,Кучибогвак,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q862265,Маунт-Ревелсток,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q862271,Вунтут,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q862285,Гуаи-Хаанас,http://www.wikidata.org/entity/Q358,национальный объект культурного наследия
http://www.wikidata.org/entity/Q862285,Гуаи-Хаанас,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q862318,Уккусиксалик,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q863415,Bimberamala National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q863555,Bindarri National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q863775,Bingera National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q864799,Национальный парк Шумава,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q865438,Biriwal Bulga National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q866080,Бискейн (национальный парк),http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q867361,"Национальный парк Чиленто, Валло-ди-Диано и Альбурни",http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q867361,"Национальный парк Чиленто, Валло-ди-Диано и Альбурни",http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q867361,"Национальный парк Чиленто, Валло-ди-Диано и Альбурни",http://www.wikidata.org/entity/Q1324355,геопарк
http://www.wikidata.org/entity/Q880717,Blackbraes National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q880783,Blackdown Tableland National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q885558,Голубые горы,http://www.wikidata.org/entity/Q3257686,обжитая местность
http://www.wikidata.org/entity/Q885558,Голубые горы,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q892405,Bongil Bongil National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q893073,Boonoo Boonoo National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q893086,Бураббин,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q893407,Border Ranges National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q643818,Belair National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q647206,Мадиди (национальный парк),http://www.wikidata.org/entity/Q96592721,protected area of Bolivia
http://www.wikidata.org/entity/Q647206,Мадиди (национальный парк),http://www.wikidata.org/entity/Q119173778,integrated management area (Bolivia)
http://www.wikidata.org/entity/Q647777,Ленсойс-Мараньенсис,http://www.wikidata.org/entity/Q9259,всемирное наследие
http://www.wikidata.org/entity/Q647777,Ленсойс-Мараньенсис,http://www.wikidata.org/entity/Q386426,природное наследие
http://www.wikidata.org/entity/Q650710,Ноэль-Кемпфф-Меркадо,http://www.wikidata.org/entity/Q96592721,protected area of Bolivia
http://www.wikidata.org/entity/Q654866,Церковь Святого Петра,http://www.wikidata.org/entity/Q16970,христианский храм
http://www.wikidata.org/entity/Q655191,Rocky Cape National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q663484,Национальный парк Родна,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q665459,Гвианская Амазония,http://www.wikidata.org/entity/Q943017,Список национальных парков Франции
http://www.wikidata.org/entity/Q667469,Шэннон (национальный парк),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q674231,Auburn River National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q679568,Пурнулулу,http://www.wikidata.org/entity/Q7632426,Пригороды и районы (Австралия)
http://www.wikidata.org/entity/Q679568,Пурнулулу,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q679568,Пурнулулу,http://www.wikidata.org/entity/Q38048753,natural cultural heritage site
http://www.wikidata.org/entity/Q679891,Ниоколо-Коба,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q679891,Ниоколо-Коба,http://www.wikidata.org/entity/Q18618841,national park of Senegal
http://www.wikidata.org/entity/Q680313,Alta Murgia National Park,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q682401,Eudlo Creek National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q686088,Ллогара,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q696959,Snowy River National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q700204,Нокберге,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q702566,Саксонская Швейцария,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q702566,Саксонская Швейцария,http://www.wikidata.org/entity/Q21815132,Nationalpark
http://www.wikidata.org/entity/Q707427,Тароко,http://www.wikidata.org/entity/Q22698,парк
http://www.wikidata.org/entity/Q712296,Озеро Кларк,http://www.wikidata.org/entity/Q841646,национальный заказник
http://www.wikidata.org/entity/Q712296,Озеро Кларк,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q715124,Тейде (национальный парк),http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q715124,Тейде (национальный парк),http://www.wikidata.org/entity/Q1316973,национальный парк Испании
http://www.wikidata.org/entity/Q715124,Тейде (национальный парк),http://www.wikidata.org/entity/Q15069452,охраняемая территория проекта Natura 2000
http://www.wikidata.org/entity/Q724310,Тейден-Нене,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q726863,Дубль-Ве,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q726863,Дубль-Ве,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q733491,Neerabup National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q735229,Порт-Кэмпбелл,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q738435,Пиренеи (национальный парк),http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q738435,Пиренеи (национальный парк),http://www.wikidata.org/entity/Q943017,Список национальных парков Франции
http://www.wikidata.org/entity/Q738582,Клуэйн,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q741557,Japoon National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q741610,Ордеса-и-Монте-Пердидо,http://www.wikidata.org/entity/Q38062,Кола-де-Кабальо
http://www.wikidata.org/entity/Q741610,Ордеса-и-Монте-Пердидо,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q741610,Ордеса-и-Монте-Пердидо,http://www.wikidata.org/entity/Q796174,site of community importance
http://www.wikidata.org/entity/Q741610,Ордеса-и-Монте-Пердидо,http://www.wikidata.org/entity/Q1316973,национальный парк Испании
http://www.wikidata.org/entity/Q741636,Койба,http://www.wikidata.org/entity/Q23442,остров
http://www.wikidata.org/entity/Q742315,Игуасу,http://www.wikidata.org/entity/Q9259,всемирное наследие
http://www.wikidata.org/entity/Q742315,Игуасу,http://www.wikidata.org/entity/Q386426,природное наследие
http://www.wikidata.org/entity/Q743754,Гауя,http://www.wikidata.org/entity/Q11876497,national park
http://www.wikidata.org/entity/Q743754,Гауя,http://www.wikidata.org/entity/Q15069452,охраняемая территория проекта Natura 2000
http://www.wikidata.org/entity/Q746452,Сидней-Харбор,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q748597,Рангел — Сент-Элайас,http://www.wikidata.org/entity/Q841646,национальный заказник
http://www.wikidata.org/entity/Q748597,Рангел — Сент-Элайас,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q750485,Astrebla Downs National Park,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q750485,Astrebla Downs National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q751274,Lamington National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q752218,Эмас,http://www.wikidata.org/entity/Q167946,Список национальных парков Бразилии
http://www.wikidata.org/entity/Q767661,Каркаралинский национальный парк,http://www.wikidata.org/entity/Q112128334,особо охраняемая природная территория республиканского значения Казахстана
http://www.wikidata.org/entity/Q771373,Билу,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q771612,Олавик (национальный парк),http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q775595,Галф-Айлендс,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q777183,Роки-Маунтин,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q778921,Аспромонте (национальный парк),http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q778921,Аспромонте (национальный парк),http://www.wikidata.org/entity/Q1324355,геопарк
http://www.wikidata.org/entity/Q789743,Ауюиттук (национальный парк),http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q791260,Эйвон-Волли,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q791635,Аваш (национальный парк),http://www.wikidata.org/entity/Q22698,парк
http://www.wikidata.org/entity/Q795176,Кеджимкуджик,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q795190,Райдинг-Маунтин,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q795332,Сирмилик,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q799012,Бадгингарра,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,http://www.wikidata.org/entity/Q570116,достопримечательность
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,http://www.wikidata.org/entity/Q17343829,невключённая община в США
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q3627,Чиллаго-Мунгана Кейвс,http://www.wikidata.org/entity/Q2232001,экскурсионная пещера
http://www.wikidata.org/entity/Q3627,Чиллаго-Мунгана Кейвс,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q4111,Цзючжайгоу,http://www.wikidata.org/entity/Q39816,долина
http://www.wikidata.org/entity/Q4111,Цзючжайгоу,http://www.wikidata.org/entity/Q473972,природоохранная зона
